=== PAGE 1 TABLE 1 ===,,,,,,,,,,,,
,,교양,,,,전공,,,,,,
학과,구분,기초,균형,교양,,전공,전공,전공,,졸업 잔여,졸업,최소전공 인정학점
,,교양,교양,잔여 학점,소계,기초,필수,선택,소계,학점,학점,시행여부
,전공심화,8,19,3,30,,21,57,78,22,130,
컴퓨터공학과,,,,,,,,,,,,○
,복수전공,8,19,3,30,,21,35,56,44,130,
,,,,,,,,,,,,
=== PAGE 1 TABLE 2 ===,,,,,,,,,,,,
5대 전공능력기반,①,②,③,④,⑤,합계,,,,,,
전공과목(학점),26((78),21(78),22(60),38(132),18(72),125(420),,,,,,
,,,,,,,,,,,,
=== PAGE 2 TABLE 1 ===,,,,,,,,,,,,
,,1학년,,2학년,,3학년,,4학년,,,,
구 분,,,,,,,,,,총계,비고,
,,1학기,2학기,1학기,2학기,1학기,2학기,1학기,2학기,,,
,CDA0153,정보보안(Information Security),3,3,,4-2,①②③,,,,,
,CDA0074,생명정보학개론(Bio-informatics Theory),3,3,,4-2,④⑤,,,,,
,CDA0159,데이터과학세미나(Data Science Seminar),3,3,,4-2,②④⑤,,,,,
,,,,,,"3,4-계",,,,,,
,CDA0144,현장실습1(Working Practices1),3,,4주,절,②④⑤,,,,,
,CDA0145,현장실습3(Working Practices3),6,,8주,"3,4-계절",②④⑤,,,,,
,CDA0147,현장실습4(Working Practices4),12,,12주,"4-1,2",②④⑤,,,,,
,CDA0160,표준형현장실습(Co-op)1,3,,4주,"3,4-계절",②④⑤,,,,,
,CDA0161,표준형현장실습(Co-op)3,6,,8주,"3,4-계절",②④⑤,,,,,
,CDA0162,표준형현장실습(Co-op)4,12,,12주,"3,4-1,2",②④⑤,,,,,
계,,43과목,144,,,,,,,,,
,,,,,,,,,,,,
