학과,구분,교양.기초 교양,교양.균형 교양,교양.교양 잔여 학점,교양.소계,전공.전공 기초,전공.전공 필수,전공.전공 선택,전공.소계,졸업 잔여 학점.,졸업 학점.,최소전공 인정학점.시행여부
컴퓨터공학과,전공심화,8,19,3,30,,21,57,78,22,130,○
컴퓨터공학과,복수전공,8,19,3,30,,21,35,56,44,130,○
